Soda,Low-Calorie,No-Protein,No-Fat,Low-Carbs
Soda,Low-Calorie,No-Protein,No-Fat,High-Carbs
Soda,Low-Calorie,No-Protein,No-Fat,No-Carbs
Soda,Medium-Calorie,No-Protein,No-Fat,High-Carbs
Soda,Zero-Calorie,No-Protein,No-Fat,Low-Carbs
Soda,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Liquor and cocktails,Medium-Calorie,No-Protein,No-Fat,No-Carbs
Biscuits, muffins, quick breads,High-Calorie,High-Protein,High-Fat,High-Carbs
Beverages,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Beverages,Low-Calorie,No-Protein,No-Fat,High-Carbs
Beverages,Medium-Calorie,No-Protein,No-Fat,High-Carbs
Milk shakes and other dairy drinks,Medium-Calorie,Low-Protein,High-Fat,High-Carbs
Baked Products,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Soft drinks,Medium-Calorie,No-Protein,No-Fat,High-Carbs
Diet soft drinks,Zero-Calorie,Low-Protein,No-Fat,No-Carbs
Beverages,High-Calorie,Low-Protein,No-Fat,High-Carbs
Baked Products,High-Calorie,High-Protein,High-Fat,High-Carbs
Fruit drinks,Low-Calorie,Low-Protein,Low-Fat,High-Carbs
Wine,Low-Calorie,Low-Protein,No-Fat,Low-Carbs
Saltine crackers,High-Calorie,High-Protein,High-Fat,High-Carbs
Flavored or carbonated water,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Saltine crackers,High-Calorie,High-Protein,Low-Fat,High-Carbs
Diet soft drinks,Low-Calorie,Low-Protein,Low-Fat,Low-Carbs
Beverages,High-Calorie,No-Protein,No-Fat,Low-Carbs
Beverages,Low-Calorie,Low-Protein,Low-Fat,Low-Carbs
Beverages,High-Calorie,No-Protein,Low-Fat,High-Carbs
Beverages,Low-Calorie,No-Protein,No-Fat,Low-Carbs
Beverages,Low-Calorie,Low-Protein,No-Fat,Low-Carbs
Beverages,Zero-Calorie,No-Protein,No-Fat,Low-Carbs
Beverages,Zero-Calorie,Low-Protein,No-Fat,No-Carbs
Beverages,Low-Calorie,No-Protein,Low-Fat,High-Carbs
Beverages,Low-Calorie,Low-Protein,Low-Fat,High-Carbs
Soft drinks,Low-Calorie,Low-Protein,Low-Fat,High-Carbs
Crackers & Biscotti,High-Calorie,High-Protein,High-Fat,High-Carbs
Breads & Buns,High-Calorie,High-Protein,High-Fat,High-Carbs
Cakes, Cupcakes, Snack Cakes,High-Calorie,High-Protein,High-Fat,High-Carbs
Water,Low-Calorie,No-Protein,No-Fat,Low-Carbs
Baking Additives & Extracts,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Alcohol,Low-Calorie,No-Protein,No-Fat,Low-Carbs
Water,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Powdered Drinks,High-Calorie,No-Protein,No-Fat,High-Carbs
Soda,Medium-Calorie,Low-Protein,No-Fat,High-Carbs
Crackers & Biscotti,Medium-Calorie,Low-Protein,Low-Fat,High-Carbs
Liquid Water Enhancer,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Candy,High-Calorie,No-Protein,No-Fat,High-Carbs
Popcorn, Peanuts, Seeds & Related Snacks,High-Calorie,No-Protein,High-Fat,High-Carbs
Powdered Drinks,Zero-Calorie,No-Protein,No-Fat,No-Carbs
Other Drinks,Low-Calorie,No-Protein,No-Fat,Low-Carbs
Fruit & Vegetable Juice, Nectars & Fruit Drinks,Low-Calorie,No-Protein,No-Fat,Low-Carbs
Alcohol,Zero-Calorie,No-Protein,No-Fat,No-Carbs
