"rules" "support" "confidence" "coverage" "lift" "count"
"1" "{Fruit & Vegetable Juice} => {Nectars & Fruit Drinks}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"2" "{Nectars & Fruit Drinks} => {Fruit & Vegetable Juice}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"4" "{Seasoning Mixes} => {Salts}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"5" "{Salts} => {Seasoning Mixes}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"6" "{Seasoning Mixes} => {Marinades & Tenderizers}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"7" "{Marinades & Tenderizers} => {Seasoning Mixes}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"8" "{Salts} => {Marinades & Tenderizers}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"9" "{Marinades & Tenderizers} => {Salts}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"46" "{Salts,Seasoning Mixes} => {Marinades & Tenderizers}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"47" "{Marinades & Tenderizers,Seasoning Mixes} => {Salts}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"48" "{Marinades & Tenderizers,Salts} => {Seasoning Mixes}" 0.0106194690265487 1 0.0106194690265487 94.1666666666667 18
"10" "{Protein & Muscle Recovery Drinks} => {Energy}" 0.0129793510324484 1 0.0129793510324484 77.0454545454545 22
"11" "{Energy} => {Protein & Muscle Recovery Drinks}" 0.0129793510324484 1 0.0129793510324484 77.0454545454545 22
"14" "{Pickles} => {Peppers & Relishes}" 0.0135693215339233 1 0.0135693215339233 73.695652173913 23
"15" "{Peppers & Relishes} => {Pickles}" 0.0135693215339233 1 0.0135693215339233 73.695652173913 23
