description,brand,category
"Turkey sticks, breaded, battered, fried",Unknown,Poultry Products
"ORANGE DRINK, ORANGE","Prairie Farms Dairy, Inc.",Other Drinks
"ORIGINAL DRESSING & SANDWICH SPREAD, ORIGINAL",Pinnacle Foods Group LLC,Salad Dressing & Mayonnaise
"MINT CHIP SUGAR FREE MARSHMALLOWS, MINT CHIP",Know Brainer Foods LLC,Candy
GROUND CHUNK BEEF PATTIES,Hannaford Bros. Co.,Frozen Patties and Burgers
MANGOES SNACK BOWLS,The Kroger Co.,Canned Fruit
"Potato, hash brown, from restaurant, with cheese",Unknown,French fries and other fried white potatoes
"CHOCOLATE WHOLE MILK, CHOCOLATE","McArthur Next, LLC",Milk
"FRESH FOODS MARKET, CHEF SALAD",The Kroger Co.,"Pickles, Olives, Peppers & Relishes"
"WHITE ENRICHED SANDWICH BREAD, WHITE","Bimbo Bakeries USA, Inc.",Breads & Buns
BLACK BEAN BURGERS CHIPOTLE BLEND,Goodman Food Products Inc.,Frozen Patties and Burgers
"AdvancePierre The Pub Flame Grilled Beef Burger, 4 oz.",Tyson Foods Inc.,Meat/Poultry/Other Animals - Prepared/Processed
"NEW CENTURY SNACKS, BLACK RAISINS","Snack World, LLC",Wholesome Snacks
"STEAK FRIES CUT POTATOES, STEAK FRIES","McCain Foods USA, Inc.","French Fries, Potatoes & Onion Rings"
"FRUIT SNACK, FRUIT PUNCH",Healthy Food Brands LLC,Candy
MANGO SOFT DRINK,PRI TRIP,Soda
"Double hamburger, on wheat bun, 2 medium patties",Unknown,Burgers
"Corned beef sandwich on wheat, with cheese",Unknown,Deli and cured meat sandwiches
ASSORTED CANDY,"Radz Brands, LLC",Candy
"HOT & SPICY FLAVORED PORK RINDS, HOT & SPICY",Kitchen Cooked Inc.,Other Snacks
"ENERGY NUTRITION DRINK, MANGO",Harvest Hill Beverage Company,"Energy, Protein & Muscle Recovery Drinks"
"COOKIES & CREME FLAVORED SWEETENDED RICE CEREAL, COOKIES & CREME",The Kellogg Company ,Cereal
"FUDGE NEKOT SANDWICH COOKIES,, FUDGE","Snyder's-Lance, Inc.",Cookies & Biscuits
"CHOCOLATE BROWNIES, CHOCOLATE",J.S. Krum Inc.,"Cakes, Cupcakes, Snack Cakes"
CHICKEN BREAST PATTIES,The Moran Group Incorporated,Frozen Patties and Burgers
"APPLEBEE'S, french fries",Unknown,Restaurant Foods
"LOFTHOUSE, SUGAR COOKIES",Lofthouse Foods,Candy
"SWEET POTATO FRIES, SWEET","Publix Super Markets, Inc.","French Fries, Potatoes & Onion Rings"
"GENUINE JAMAICAN CREAM SODA, CREAM",Reggae Imports Ltd.,Soda
"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)",Unknown,Vegetables and Vegetable Products
"GOURMET COFFEE CREAMER, HOT FOR COOKIE, COOKIE SUNDAE",Dean Foods Company,Milk Additives
SNACK FACTORY PRETZEL CRACKER ORIGINAL,Snyder's-Lance INC.,Snacks
CELEBRATION PEARLS CANDY,"SweetWorks Confections, LLC",Baking Decorations & Dessert Toppings
"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, ready-to-feed",Unknown,Baby Foods
"C&C, SODA, PEACH, PEACH","C & C Cola Co., Inc.",Soda
"HONEY GRAHAM SNACKS, HONEY",Nabisco Biscuit Company,Cookies & Biscuits
MAUBY DRINK CONCENTRATE,Jmd Inc.,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
MOUNTAIN DRIVE SODA,"Hy-Vee, Inc.",Soda
CLUB SODA,"CVS Pharmacy, Inc.",Soda
"EL CHARRO, PORK CRACKLINS","El Charro, Inc.",Other Snacks
ROAST BEEF & WHITE CHEDDAR SANDWICH,Food Town Stores Inc.,Prepared Subs & Sandwiches
"BBQ BACON SEASONED BEEF PATTIES STUFFED WITH CHEESE, BBQ BACON SEASONED BEEF WITH CHEESE",Jensen Meat Co. Inc.,Frozen Patties and Burgers
"FRUIT SNACKS, MIXED BERRY",Ferrara Candy Company,Candy
"Chicken, NS as to part, rotisserie, skin not eaten",Unknown,"Chicken, whole pieces"
"THE PRIME BURGER, BEEF",Burger Maker Co Inc,Other Meats
"CONCORD FOODS, CARAMEL APPLE WRAP",Concord Foods LLC,Dips & Salsa
