description,category,brand,calories,protein,fat,carbs,calories_per_protein,calories_per_fat,calories_per_carb,label
"MINT CHIP, MINT CHIP",Ice Cream & Frozen Yogurt,Lopez Island Creamery,-0.1532402524117918,-0.4159128094527212,0.3693433214531881,-0.3527181240610276,-0.2836931056105043,-0.3322199399147532,-0.1471306419218927,0
"MINT CHIP LACTOSE FREE MINT CHIP, MINT CHIP",Ice Cream & Frozen Yogurt,Beckon LLC,-0.1709387912547365,-0.4035174804814805,0.2767376820442498,-0.2549416061542423,-0.2836935128020436,-0.3322198400280602,-0.1471308201896891,0
"MOCHA CHIP ICE CREAM WITH CHOCOLATE CHIPS, MOCHA CHIP",Ice Cream & Frozen Yogurt,Brigham's Inc.,-0.1850976223290922,-0.3735621021343157,0.2482436391491919,-0.3075905004117421,-0.2836941805460432,-0.3322198227452816,-0.1471307577040764,0
"MINT CHIP POPS, MINT CHIP",Ice Cream & Frozen Yogurt,"Wells Enterprises, Inc.",-0.5638463535681079,0.0695709085875361,-0.4669568375167621,-0.3451968534528133,-0.2836988759179932,-0.3322186594943933,-0.1471311472273903,0
"CHOCOLATE CHIP VANILLA ICE CREAM WITH CHOCOLATY CHIPS, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,Royal Ice Cream Company,-0.298368270923938,-0.4045504245624173,0.0202912959887284,-0.2499274257487661,-0.2836944837352707,-0.3322196433472159,-0.1471309583932274,0
"MINT CHIP ICE CREAM SPRINKLED WITH CHOCOLATEY CHIPS, MINT CHIP",Ice Cream & Frozen Yogurt,"Fareway Stores, Inc.",-0.351463887452772,-0.3931880396721133,-0.1150554077627967,-0.3126046808172182,-0.2836950794406165,-0.3322194424587472,-0.1471309383243389,0
"MINT CHIP MINT ICE CREAM WITH CHOCOLATY CHIPS, MINT CHIP",Ice Cream & Frozen Yogurt,"Supervalu, Inc.",-0.2204947000149815,-0.2754324144453275,0.0202912959887284,-0.2549416061542423,-0.2836957098086504,-0.3322194527364541,-0.1471308716484542,0
"MINT CHIP WITH RICH CHOCOLATE CHIPS ICE CREAM, MINT CHIP",Ice Cream & Frozen Yogurt,"New Seasons Market, LLC",-0.1709387912547365,-0.4809882865517343,0.3764668321769527,-0.4028599281157893,-0.2836914518670412,-0.3322199799810476,-0.1471305607661829,0
"CHOCOLATE CHIP PREMIUM ICE CREAM WITH DARK CHOCOLATE CHIPS, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,Turkey Hill Dairy Inc.,-0.2098755767092147,-0.3053877927924924,0.0701558710550799,-0.1671934490584093,-0.2836953164300906,-0.3322195428297314,-0.1471309629543142,0
CHOCOLATE CHIP,Ice Cream & Frozen Yogurt,Conopco Inc.,-0.2558917777008708,-0.3281125625731002,0.0202912959887284,-0.2549416061542423,-0.2836953242525053,-0.3322195393777095,-0.1471309084047149,0
"CHERRY CHIP ICE CREAM, CHERRY CHIP",Ice Cream & Frozen Yogurt,Rebel Creamery LLC,-0.3125271019982937,-0.5109436648988993,0.3693433214531881,-0.397845747710313,-0.2836918926283067,-0.3322202174216637,-0.1471307577041428,0
"CHOC CHIP ICE CREAM, CHOC CHIP",Ice Cream & Frozen Yogurt,Kemps LLC ,-0.2594314854694598,-0.4272751943430251,-0.0723143434202097,-0.2825195983843613,-0.2836937257676981,-0.3322193071312341,-0.1471308764323933,0
"CHOCOLATE CHIP COOKIE DOUGH, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,Friendly Ice Cream Corp.,-0.1355417135688472,-0.4117810331289743,0.0202912959887284,-0.0493602095297194,-0.2836930569704935,-0.3322192447974412,-0.147131009272114,0
"CHOCOLATE CHIP COOKIE SANDWICH, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,Nestle USA Inc.,0.0839201680836665,-0.4778894543089242,0.0772793817788443,0.3367316816919454,-0.2836890287089022,-0.3322188838592376,-0.1471311145285162,0
